Rk,G,Date,Tm,Opp,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-10-20,TOR,WAS,L (-15),1,32:32:00,5,13,0.385,0,1,0,2,3,0.667,3,6,9,1,1,0,6,5,12,2.1,-11
2,2,2021-10-22,TOR,BOS,W (+32),1,35:29:00,11,17,0.647,1,2,0.5,2,2,1,6,7,13,2,0,0,1,1,25,23.8,29
3,3,2021-10-23,TOR,DAL,L (-8),1,29:34:00,6,12,0.5,0,2,0,5,7,0.714,4,4,8,2,0,0,0,5,17,13.6,7
4,4,2021-10-25,TOR,CHI,L (-3),1,39:01:00,6,8,0.75,0,1,0,1,2,0.5,1,3,4,0,1,1,6,2,13,5.9,-10
5,5,2021-10-27,TOR,IND,W (+18),1,36:07:00,8,17,0.471,0,0,,2,2,1,3,4,7,7,0,2,2,3,18,15.7,6
6,6,2021-10-29,TOR,ORL,W (+1),1,36:47:00,9,14,0.643,1,2,0.5,2,2,1,2,7,9,1,2,1,1,1,21,20.3,-13
7,7,2021-10-30,TOR,IND,W (+3),1,34:44:00,9,17,0.529,0,1,0,3,6,0.5,2,10,12,1,1,0,1,2,21,15.8,1
8,,2021-11-01,TOR,NYK,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2021-11-03,TOR,WAS,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
10,8,2021-11-05,TOR,CLE,L (-1),1,38:21:00,7,19,0.368,0,0,,0,0,,6,3,9,4,1,2,0,1,14,13.4,5
11,9,2021-11-07,TOR,BRK,L (-13),1,30:36:00,4,7,0.571,0,1,0,0,0,,1,6,7,4,5,0,1,5,8,12,-7
12,10,2021-11-10,TOR,BOS,L (-16),1,31:54:00,7,11,0.636,0,0,,7,8,0.875,1,6,7,4,0,0,3,4,21,16.4,-5
13,11,2021-11-11,TOR,PHI,W (+6),1,39:01:00,6,13,0.462,0,0,,1,1,1,6,3,9,4,1,2,2,2,13,13.8,11
14,12,2021-11-13,TOR,DET,L (-6),1,38:07:00,4,10,0.4,0,0,,3,4,0.75,1,5,6,4,1,0,3,2,11,7.4,-5
15,13,2021-11-15,TOR,POR,L (-5),1,39:30:00,6,14,0.429,0,1,0,6,6,1,1,7,8,2,0,0,3,2,18,11,-7
16,14,2021-11-18,TOR,UTA,L (-16),1,35:08:00,5,11,0.455,0,2,0,0,0,,4,2,6,6,1,0,2,1,10,10.5,-10
17,15,2021-11-19,TOR,SAC,W (+19),1,33:09:00,1,8,0.125,0,0,,0,0,,1,6,7,6,1,1,0,2,2,4.4,2
18,16,2021-11-21,TOR,GSW,L (-15),1,28:17:00,3,11,0.273,2,3,0.667,2,7,0.286,5,8,13,5,2,0,2,4,10,9.3,-18
19,17,2021-11-24,TOR,MEM,W (+13),1,39:05:00,8,14,0.571,1,3,0.333,0,0,,3,6,9,3,0,0,3,1,17,13,18
20,18,2021-11-26,TOR,IND,L (-17),1,35:29:00,5,9,0.556,0,0,,7,9,0.778,3,4,7,4,2,1,1,4,17,18.1,-13
21,19,2021-11-28,TOR,BOS,L (-12),1,37:17:00,7,16,0.438,4,9,0.444,3,4,0.75,5,2,7,3,2,1,3,3,21,16.9,-22
22,20,2021-11-30,TOR,MEM,L (-7),1,37:50:00,8,16,0.5,3,6,0.5,0,0,,2,5,7,3,2,4,4,1,19,16.4,-11
23,21,2021-12-02,TOR,MIL,W (+4),1,38:48:00,5,9,0.556,3,6,0.5,0,0,,2,5,7,4,3,1,0,5,13,16.1,1
24,22,2021-12-05,TOR,WAS,W (+12),1,36:54:00,5,10,0.5,0,2,0,1,2,0.5,1,5,6,1,0,1,1,5,11,6.2,11
